DATA,DATETIME,TRANSACTION_HASH,claimed
0x00000000000000000000000000000000000000000000009926f0dce4a5786000,35:32.0,0x252c8e87296df505a60829da4753135cc6bfba7ea122ff41903b041423d70728,2825.15782872
0x00000000000000000000000000000000000000000000010c3c31b84c08dc1e00,36:56.0,0x77638ae7a5ff2edadd56ca075332de99608a674e28499342e72b3371f2645179,4948.064862307
0x0000000000000000000000000000000000000000000000029a64f45b8e705a00,38:49.0,0x574cf0f56c38a7cf9d16344d2553d623305ed782680f0fa2d7c1a5c80fb23fb6,48.018773801
0x0000000000000000000000000000000000000000000000504d2edca4cddf9600,34:45.0,0x1c8deecf4fa38b3f2088ce8565ee1f553d0de3c26b3db857625478261a5e3455,1481.301151087
0x00000000000000000000000000000000000000000000004fdc4ede0603f96200,32:04.0,0xa42e78aae90ed7204fde15ef5e76615070448c37bcfc00bd6add6c34d167c22b,1473.1676516769999
0x00000000000000000000000000000000000000000000006670f9d568d204ec00,28:12.0,0xb4eed9bb932d0aea2175eac18b800ec995dd55ec654c824b4350cff05be416b8,1889.708667966
0x00000000000000000000000000000000000000000000002dfcafb5a7a259fe00,37:36.0,0x105e4f862a7d47f939b60c58ca9c7e937180347e43efc0a758aed75dd96480c7,848.311454867
0x00000000000000000000000000000000000000000000016a8076cdd2480dac00,48:25.0,0x5d369872af6d5d94983b0aaa42fbfba9aa715cfa1834acac0a9de4dd9f411fc3,6686.97816707
0x0000000000000000000000000000000000000000000001b4567a38ed9e585200,50:00.0,0x9ba531326853a84c6fbe2e83de9337c1f58867518dd5604a66e70c5dc4e2c097,8049.011771765
0x00000000000000000000000000000000000000000000012fd9ce3a4c5848fa00,47:14.0,0x1880253d5b57d5326da4fd4d4fe9ae2f9d8d5508258ee8cff83bb978bee4ae14,5605.058000185
0x0000000000000000000000000000000000000000000000cdcbc4c57b4f9bca00,16:48.0,0xc860abc6d3948004e9bc9b8131ca49e3965bd842cfeb9927ab631e82f5d1885f,3796.265612929
0x00000000000000000000000000000000000000000000003e08b0ccd68994d800,13:01.0,0x475c3eacb00b7172330da4cf5aedcf6c0856a817e9af0f419be2b2b15a4a54ee,1144.32435814
0x0000000000000000000000000000000000000000000000c74568c5f739061000,29:34.0,0x76996ee12bd96a8a1b3e19682c393df2ebe74a72f46cee37c5e03e096c3b8657,3675.90353572
0x000000000000000000000000000000000000000000000055e50e653b4a93a600,52:26.0,0x7cf4ea1d84450c0d7551e7f9417a5ced7223d15829644be87d0ab2785101a5d7,1584.4784872550001
0x000000000000000000000000000000000000000000000066d2d09db2db10d200,56:14.0,0xa18e295abacc2b0ae05609337a6550019c78d25955f476ce6c570435c017affa,1896.758710453
0x0000000000000000000000000000000000000000000001602de079a84cad3800,11:03.0,0x4796b18f6d1ad87df89656997ef1fd7c7274beaa77542a32bce7e9b804833bc9,6496.559689836
0x00000000000000000000000000000000000000000000005823bd2b9528be1000,34:27.0,0x2e5a77e25dfcd8c9c6778634a7639e0bf55473ca81fd144a039ee14fb943ecb2,1625.888740968
0x00000000000000000000000000000000000000000000002d8ca8fd6e6a5f8a00,29:07.0,0x60395207621f76366c8412e0950ab9afd69e8ae72e1d732b9186e18e63b45609,840.239112929
0x000000000000000000000000000000000000000000000036a9bba4eaa0f1ba00,32:01.0,0x553888747071fcb17248e5738b780b1366294fa045f3ff771cfb6d4b3f53dca3,1008.354730521
0x0000000000000000000000000000000000000000000000b660a48c16729bb600,36:56.0,0xef72300c30f247ca9e74fdf2318bdd679dd9925a572e36c78d2a4308b0890a3a,3364.271266367
0x0000000000000000000000000000000000000000000000022b4aa61d827bb200,33:33.0,0x4461185aa26718e49b93caa40755a5b066b1197c9cc76694e015f9c48498463e,40.012976485
